Country_Code,Country_Name,Region,Year,Company_Size,NACE_Code,NACE_Sector,AI_Adoption_Pct,Unemployment_Rate,Labour_Market_Health,Digital_Skills_Index,GDP_per_capita,Development_Level,RD_Investment_pct_GDP,ICT_Employment_pct,AI_Readiness_Score,Quadrant
DK,Denmark,Nordic,2024,Large,J,IT and Communication,42.3,5.0,Stable,78.4,62000,High,3.1,6.8,72.1,Leader
SE,Sweden,Nordic,2024,Large,J,IT and Communication,39.8,8.5,Moderate,76.2,55000,High,3.4,7.1,69.4,Leader
FI,Finland,Nordic,2024,Large,J,IT and Communication,38.5,7.4,Moderate,74.8,50000,High,2.9,6.5,67.8,Leader
NL,Netherlands,Western,2024,Large,J,IT and Communication,36.2,3.6,Stable,73.1,58000,High,2.3,6.2,68.5,Leader
BE,Belgium,Western,2024,Large,J,IT and Communication,29.4,5.5,Stable,65.2,48000,High,3.5,5.4,62.1,Leader
DE,Germany,Western,2024,Large,C,Manufacturing,28.7,3.0,Stable,63.4,46000,High,3.1,5.0,61.8,Leader
AT,Austria,Western,2024,Large,C,Manufacturing,27.2,4.8,Stable,62.1,51000,High,3.2,4.8,60.2,Leader
IE,Ireland,Western,2024,Large,J,IT and Communication,34.1,4.5,Stable,70.2,90000,High,1.8,6.9,66.3,Leader
FR,France,Western,2024,Large,M,Scientific,26.8,7.3,Moderate,60.5,43000,High,2.2,4.5,57.4,Leader
ES,Spain,Southern,2024,Large,J,IT and Communication,22.1,12.1,Fragile,53.4,30000,Medium,1.4,3.8,44.3,Laggard
IT,Italy,Southern,2024,Large,C,Manufacturing,18.6,6.7,Moderate,49.7,33000,Medium,1.5,3.5,44.8,Laggard
GR,Greece,Southern,2024,Large,G,Trade,12.3,11.2,Fragile,41.2,20000,Low,1.1,2.9,33.6,Laggard
PT,Portugal,Southern,2024,Large,G,Trade,16.8,6.5,Moderate,50.3,24000,Medium,1.6,3.2,44.1,Laggard
PL,Poland,Eastern,2024,Large,C,Manufacturing,17.4,2.8,Stable,55.1,18000,Low,1.4,4.1,50.2,Skilled-Low-AI
CZ,Czechia,Eastern,2024,Large,C,Manufacturing,19.2,2.6,Stable,57.3,25000,Medium,2.0,4.5,53.1,Leader
HU,Hungary,Eastern,2024,Large,C,Manufacturing,14.7,4.1,Stable,46.2,17000,Low,1.5,3.7,43.5,Laggard
RO,Romania,Eastern,2024,Large,C,Manufacturing,8.3,5.5,Stable,38.1,14000,Low,0.5,2.8,34.6,Laggard
BG,Bulgaria,Eastern,2024,Large,C,Manufacturing,9.1,4.2,Stable,37.2,11000,Low,0.8,3.0,35.1,Laggard
DK,Denmark,Nordic,2024,Small,J,IT and Communication,28.4,5.0,Stable,78.4,62000,High,3.1,6.8,72.1,Leader
SE,Sweden,Nordic,2024,Small,J,IT and Communication,26.1,8.5,Moderate,76.2,55000,High,3.4,7.1,69.4,Leader
FI,Finland,Nordic,2024,Small,J,IT and Communication,24.8,7.4,Moderate,74.8,50000,High,2.9,6.5,67.8,Leader
NL,Netherlands,Western,2024,Small,J,IT and Communication,22.3,3.6,Stable,73.1,58000,High,2.3,6.2,68.5,Leader
DE,Germany,Western,2024,Small,C,Manufacturing,15.2,3.0,Stable,63.4,46000,High,3.1,5.0,61.8,Leader
ES,Spain,Southern,2024,Small,G,Trade,10.4,12.1,Fragile,53.4,30000,Medium,1.4,3.8,44.3,Laggard
IT,Italy,Southern,2024,Small,G,Trade,8.2,6.7,Moderate,49.7,33000,Medium,1.5,3.5,44.8,Laggard
PL,Poland,Eastern,2024,Small,C,Manufacturing,9.1,2.8,Stable,55.1,18000,Low,1.4,4.1,50.2,Skilled-Low-AI
DK,Denmark,Nordic,2025,Large,J,IT and Communication,47.8,4.8,Stable,80.1,64000,High,3.2,7.0,74.2,Leader
SE,Sweden,Nordic,2025,Large,J,IT and Communication,43.5,8.2,Moderate,78.0,57000,High,3.5,7.3,71.1,Leader
FI,Finland,Nordic,2025,Large,J,IT and Communication,42.1,7.1,Moderate,76.5,52000,High,3.0,6.7,69.5,Leader
DE,Germany,Western,2025,Large,C,Manufacturing,32.4,2.8,Stable,65.0,48000,High,3.2,5.2,63.5,Leader
FR,France,Western,2025,Large,M,Scientific,30.1,7.0,Moderate,62.0,45000,High,2.3,4.7,59.0,Leader
ES,Spain,Southern,2025,Large,J,IT and Communication,25.3,11.5,Fragile,55.0,31500,Medium,1.5,4.0,45.8,Laggard
IT,Italy,Southern,2025,Large,C,Manufacturing,21.4,6.4,Moderate,51.2,34000,Medium,1.6,3.6,46.3,Laggard
PL,Poland,Eastern,2025,Large,C,Manufacturing,20.8,2.5,Stable,57.0,19500,Low,1.5,4.3,51.8,Skilled-Low-AI
CZ,Czechia,Eastern,2025,Large,J,IT and Communication,23.1,2.4,Stable,59.1,26500,Medium,2.1,4.7,55.0,Leader
NO,Norway,Nordic,2024,Large,J,IT and Communication,36.5,3.6,Stable,75.3,82000,High,2.1,6.5,70.1,Leader
NO,Norway,Nordic,2025,Large,J,IT and Communication,40.2,3.4,Stable,77.0,85000,High,2.2,6.7,72.0,Leader
DK,Denmark,Nordic,2024,Large,M,Scientific,44.1,5.0,Stable,78.4,62000,High,3.1,6.8,72.1,Leader
SE,Sweden,Nordic,2024,Large,M,Scientific,41.0,8.5,Moderate,76.2,55000,High,3.4,7.1,69.4,Leader
NL,Netherlands,Western,2024,Large,M,Scientific,37.8,3.6,Stable,73.1,58000,High,2.3,6.2,68.5,Leader
DE,Germany,Western,2024,Large,M,Scientific,30.4,3.0,Stable,63.4,46000,High,3.1,5.0,61.8,Leader
ES,Spain,Southern,2024,Large,M,Scientific,19.3,12.1,Fragile,53.4,30000,Medium,1.4,3.8,44.3,Laggard
PL,Poland,Eastern,2024,Large,M,Scientific,14.2,2.8,Stable,55.1,18000,Low,1.4,4.1,50.2,Skilled-Low-AI
DK,Denmark,Nordic,2024,Large,F,Construction,18.5,5.0,Stable,78.4,62000,High,3.1,6.8,72.1,Leader
DE,Germany,Western,2024,Large,F,Construction,15.3,3.0,Stable,63.4,46000,High,3.1,5.0,61.8,Leader
IT,Italy,Southern,2024,Large,F,Construction,10.2,6.7,Moderate,49.7,33000,Medium,1.5,3.5,44.8,Laggard
ES,Spain,Southern,2024,Large,I,Accommodation,22.8,12.1,Fragile,53.4,30000,Medium,1.4,3.8,44.3,Laggard
HR,Croatia,Southern,2024,Large,I,Accommodation,11.4,6.4,Moderate,44.2,17000,Low,0.9,3.1,37.8,Laggard
